0.0,Bleacher Report,The Telegraph,ESPN,Huffington Post,Fox News,BBC News (UK),BuzzFeed,The New York Times,Yahoo,The Guardian ,NBC News,Forbes,Daily Mail Online,ABC News,Business Insider,Washington Post,CNN,The Independent,Mashable,Wall Street Journal,
NBC News,41,6,45,3,14,32,1,19,14,1,15,18,2,24,1,10,19,5,10,29,
Forbes,66,6,82,12,25,62,8,35,19,7,24,30,17,61,15,15,28,15,19,49,
Daily Mail Online,7,0,23,1,11,12,0,0,2,0,3,4,1,12,1,3,3,3,5,18,
ABC News,50,4,63,4,40,65,5,20,29,7,20,18,16,67,7,25,45,16,15,54,
Business Insider,24,0,27,0,7,8,1,11,3,1,0,5,0,7,1,10,2,3,8,15,
Washington Post,47,10,59,8,27,39,4,17,23,2,11,22,5,27,3,26,35,16,11,38,
CNN,50,5,104,8,36,63,4,20,25,5,14,19,11,39,4,17,34,9,18,56,
The Independent,15,6,25,1,8,22,1,8,4,3,1,6,1,17,6,6,9,8,4,12,
Mashable,16,2,27,5,7,19,2,9,8,8,8,15,3,19,2,5,13,4,13,18,
Wall Street Journal,62,27,80,18,47,79,18,31,48,16,27,43,19,66,41,54,55,27,25,89,

0.05,Bleacher Report,The Telegraph,ESPN,Huffington Post,Fox News,BBC News (UK),BuzzFeed,The New York Times,Yahoo,The Guardian ,NBC News,Forbes,Daily Mail Online,ABC News,Business Insider,Washington Post,CNN,The Independent,Mashable,Wall Street Journal,
Bleacher Report,1782,86,433,111,157,154,73,103,246,151,208,134,113,306,172,104,286,72,144,202,
The Telegraph,102,35,119,32,80,113,26,51,57,48,39,36,33,132,40,44,93,45,49,76,
ESPN,531,127,1036,176,317,195,104,165,291,93,224,231,126,223,160,162,236,149,149,160,
Huffington Post,98,32,138,43,73,85,26,59,65,34,39,57,35,128,25,66,86,40,55,70,
Fox News,142,74,253,54,190,112,35,126,126,81,111,90,73,214,69,123,134,81,89,124,
BBC News (UK),171,131,180,89,167,178,85,103,168,110,124,106,123,207,87,120,185,106,113,113,
BuzzFeed,122,28,102,23,57,73,26,37,51,37,38,39,36,81,24,61,79,28,36,63,
The New York Times,140,49,115,50,89,86,40,78,111,64,75,59,63,164,59,83,114,58,83,92,
Yahoo,167,51,201,46,107,126,24,60,90,57,74,72,35,129,40,87,114,49,71,110,
The Guardian ,122,36,78,34,91,105,15,51,61,39,41,51,25,131,38,87,87,39,33,91,
NBC News,149,52,165,39,129,115,28,80,82,50,84,57,71,152,28,69,115,47,70,88,
Forbes,181,54,153,63,89,110,64,72,120,63,66,120,77,125,79,97,115,67,76,119,
Daily Mail Online,101,41,101,32,83,95,24,64,57,53,36,59,55,165,26,57,88,46,48,84,
ABC News,264,108,190,63,206,187,75,147,144,116,144,143,117,365,100,139,203,86,126,138,
Business Insider,321,45,158,34,92,89,32,60,80,48,41,89,42,145,59,96,96,42,65,113,
Washington Post,197,67,128,73,142,109,50,96,101,91,104,93,69,173,88,105,127,78,91,116,
CNN,277,79,161,68,175,154,57,120,145,89,134,97,88,212,69,132,190,75,109,113,
The Independent,96,37,96,30,66,71,26,35,46,32,32,37,42,107,36,44,66,40,35,70,
Mashable,114,29,127,40,89,85,25,46,75,40,49,75,36,111,36,59,74,33,75,70,
Wall Street Journal,174,92,181,93,159,120,61,139,126,111,117,100,92,179,118,146,184,74,118,189,

0.06,Bleacher Report,The Telegraph,ESPN,Huffington Post,Fox News,BBC News (UK),BuzzFeed,The New York Times,Yahoo,The Guardian ,NBC News,Forbes,Daily Mail Online,ABC News,Business Insider,Washington Post,CNN,The Independent,Mashable,Wall Street Journal,
Bleacher Report,779,97,159,136,108,81,114,115,154,123,118,93,140,179,253,103,90,123,119,111,
The Telegraph,152,108,90,92,112,102,64,88,82,114,128,71,101,146,71,95,125,106,101,91,
ESPN,245,122,447,182,170,95,135,113,180,97,143,109,125,113,179,122,107,116,139,128,
Huffington Post,155,88,134,84,138,96,76,108,123,106,116,110,112,185,104,129,113,77,126,78,
Fox News,98,126,127,135,210,111,80,143,155,159,198,84,122,209,155,140,172,95,159,135,
BBC News (UK),101,114,95,109,153,108,109,118,102,146,131,83,149,144,127,123,157,108,115,95,
BuzzFeed,113,78,102,79,93,83,90,78,92,67,93,71,124,135,63,94,110,81,94,77,
The New York Times,143,78,81,86,127,83,79,104,93,89,109,74,83,141,83,125,127,71,106,104,
Yahoo,150,100,181,97,157,109,90,108,148,99,119,104,80,157,97,129,139,81,131,116,
The Guardian ,119,84,81,91,181,115,63,118,124,157,123,80,126,171,138,116,115,100,169,122,
NBC News,114,149,116,91,228,90,76,137,98,145,182,84,131,236,115,135,170,90,124,126,
Forbes,148,73,135,108,85,111,102,79,120,89,83,163,69,116,129,115,90,73,107,98,
Daily Mail Online,177,118,101,95,176,101,103,111,114,94,120,94,156,169,91,106,133,116,115,83,
ABC News,220,169,85,158,189,121,140,121,122,135,208,99,181,215,137,155,181,134,158,159,
Business Insider,341,77,159,137,182,108,92,120,161,119,111,163,115,193,184,172,150,89,183,131,
Washington Post,150,131,100,97,155,90,80,119,113,105,127,97,114,160,113,141,137,101,132,120,
CNN,108,117,102,145,191,121,93,142,123,124,155,110,163,205,135,157,229,121,145,113,
The Independent,93,70,122,71,107,93,47,78,74,100,78,85,67,137,70,106,99,58,83,75,
Mashable,105,62,151,92,139,98,75,87,121,103,124,133,130,159,110,114,128,64,171,82,
Wall Street Journal,118,111,113,111,154,99,104,138,137,119,113,84,107,160,153,155,159,88,148,137,

0.07,Bleacher Report,The Telegraph,ESPN,Huffington Post,Fox News,BBC News (UK),BuzzFeed,The New York Times,Yahoo,The Guardian ,NBC News,Forbes,Daily Mail Online,ABC News,Business Insider,Washington Post,CNN,The Independent,Mashable,Wall Street Journal,
Bleacher Report,132,36,26,65,22,23,61,32,51,63,31,26,29,29,63,42,22,51,34,32,
The Telegraph,60,85,39,58,64,55,62,52,54,78,70,44,66,54,81,70,62,89,66,66,
ESPN,60,46,110,99,42,19,70,43,50,27,52,49,40,14,59,46,36,48,40,41,
Huffington Post,48,55,55,85,74,26,72,61,85,73,79,67,86,81,63,102,56,65,87,61,
Fox News,20,63,28,94,83,44,67,80,81,74,99,34,74,69,69,73,85,60,79,57,
BBC News (UK),61,63,30,59,66,37,52,48,59,55,53,45,50,58,49,42,63,59,63,36,
BuzzFeed,84,64,58,69,72,43,95,63,64,68,59,57,90,67,83,67,53,50,87,45,
The New York Times,35,52,26,62,49,25,61,67,58,56,64,52,62,44,59,71,56,47,55,34,
Yahoo,52,57,69,65,69,58,74,69,129,76,83,69,68,66,100,98,62,58,133,69,
The Guardian ,49,72,22,65,53,35,62,69,81,106,85,39,77,44,78,72,62,70,81,62,
NBC News,38,78,34,87,97,47,65,100,97,91,118,45,106,97,75,85,108,74,119,65,
Forbes,62,72,65,98,40,41,94,58,64,53,64,107,80,60,93,69,70,55,86,59,
Daily Mail Online,43,63,26,79,55,33,84,62,60,56,68,55,128,58,66,78,67,84,81,45,
ABC News,31,49,10,70,56,32,63,46,51,46,61,43,77,60,65,65,65,54,49,44,
Business Insider,110,72,67,93,86,44,90,90,117,104,72,96,91,76,141,82,80,74,123,82,
Washington Post,47,68,35,87,63,40,59,83,63,86,65,60,81,65,76,71,65,72,81,68,
CNN,31,76,31,62,87,52,56,60,60,64,108,38,74,68,70,63,106,55,65,57,
The Independent,72,67,57,61,60,53,61,41,54,64,55,55,104,80,64,79,50,57,79,52,
Mashable,55,60,57,80,64,37,106,79,101,72,78,79,101,55,98,91,69,72,109,58,
Wall Street Journal,50,58,31,100,55,42,48,67,79,66,66,55,49,52,89,76,55,65,71,72,

0.08,Bleacher Report,The Telegraph,ESPN,Huffington Post,Fox News,BBC News (UK),BuzzFeed,The New York Times,Yahoo,The Guardian ,NBC News,Forbes,Daily Mail Online,ABC News,Business Insider,Washington Post,CNN,The Independent,Mashable,Wall Street Journal,
Bleacher Report,43,8,20,35,11,13,15,8,10,13,16,9,6,8,16,40,13,22,12,20,
The Telegraph,15,44,14,48,23,21,43,32,28,45,44,38,59,23,41,34,31,44,42,29,
ESPN,35,24,97,35,19,11,21,32,30,9,16,21,8,13,21,23,11,18,13,22,
Huffington Post,22,47,13,67,31,18,80,38,39,30,28,45,47,28,45,49,41,38,67,32,
Fox News,6,26,11,42,24,23,39,38,28,23,55,15,25,21,33,44,46,36,24,31,
BBC News (UK),40,26,10,34,27,23,30,33,28,33,30,29,35,24,37,31,31,34,37,38,
BuzzFeed,37,46,32,65,35,20,77,47,60,56,59,53,74,40,73,48,34,54,65,34,
The New York Times,8,22,9,34,23,14,35,32,35,30,24,26,34,15,37,29,26,24,28,31,
Yahoo,12,28,41,74,42,26,79,60,92,59,58,47,45,34,71,58,53,31,93,47,
The Guardian ,13,34,5,33,21,16,48,40,37,31,22,24,31,19,39,29,24,19,37,29,
NBC News,4,37,15,52,27,18,66,39,39,29,69,24,56,32,41,40,40,45,48,25,
Forbes,27,45,31,82,19,28,83,25,50,52,32,59,56,31,60,53,47,68,60,40,
Daily Mail Online,6,43,6,50,28,16,58,21,17,35,44,32,47,20,55,39,14,57,38,27,
ABC News,7,21,11,25,12,18,43,25,21,18,30,13,18,22,24,34,22,25,10,33,
Business Insider,25,50,25,74,32,16,81,77,68,68,46,58,50,42,93,68,52,51,65,54,
Washington Post,30,46,16,54,31,17,55,38,43,53,51,35,42,33,36,50,34,47,57,37,
CNN,6,23,9,38,23,21,56,44,51,42,47,34,36,17,41,39,58,34,47,36,
The Independent,39,69,30,76,34,29,68,29,40,63,59,36,67,36,64,58,40,79,61,41,
Mashable,7,48,15,59,24,17,91,53,77,45,40,59,55,20,68,67,53,71,82,39,
Wall Street Journal,17,30,13,36,27,19,38,33,37,33,41,29,27,19,42,44,34,40,43,38,

0.09,Bleacher Report,The Telegraph,ESPN,Huffington Post,Fox News,BBC News (UK),BuzzFeed,The New York Times,Yahoo,The Guardian ,NBC News,Forbes,Daily Mail Online,ABC News,Business Insider,Washington Post,CNN,The Independent,Mashable,Wall Street Journal,
Bleacher Report,43,0,24,6,3,5,3,3,2,2,2,7,3,2,2,12,0,2,4,5,
The Telegraph,3,17,5,22,6,12,12,10,10,8,4,11,13,9,14,11,6,12,12,13,
ESPN,38,4,65,8,7,9,9,11,7,5,6,9,4,6,8,6,6,5,12,8,
Huffington Post,1,15,6,19,6,8,30,8,15,10,10,12,7,8,11,15,11,12,5,8,
Fox News,3,6,12,6,10,8,8,11,7,2,5,7,6,3,5,7,5,12,6,10,
BBC News (UK),8,5,8,9,7,12,17,6,6,7,8,7,8,11,7,13,8,13,9,3,
BuzzFeed,3,15,6,20,6,12,27,23,21,14,16,15,19,11,24,16,8,22,20,14,
The New York Times,3,10,5,9,9,5,9,17,3,6,13,12,7,9,12,5,9,8,11,5,
Yahoo,3,15,7,22,11,8,17,23,25,13,18,11,7,5,16,15,19,13,24,14,
