0.0,Bleacher Report,The Telegraph,ESPN,Huffington Post,Fox News,BBC News (UK),BuzzFeed,The New York Times,Yahoo,The Guardian ,NBC News,Forbes,Daily Mail Online,ABC News,Business Insider,Washington Post,CNN,The Independent,Mashable,Wall Street Journal,
Bleacher Report,37,1,11,3,0,0,3,0,4,0,3,2,1,0,0,2,0,3,2,2,
The Telegraph,2,5,0,3,4,5,0,4,0,3,2,2,0,3,1,3,1,3,2,2,
ESPN,10,2,21,3,1,0,3,4,5,1,1,3,0,0,1,1,1,1,1,2,
Huffington Post,1,0,1,2,3,4,0,6,5,1,3,1,2,1,0,2,3,0,3,2,
Fox News,3,2,3,1,6,0,2,9,2,1,8,2,2,9,3,4,2,3,4,2,
BBC News (UK),0,3,2,2,2,9,1,1,1,3,2,4,1,0,1,2,2,2,4,2,
BuzzFeed,0,0,2,3,2,2,10,8,3,1,4,4,3,6,4,4,0,7,2,2,
The New York Times,0,2,0,0,4,1,3,4,3,2,4,1,2,4,4,3,4,5,3,2,
Yahoo,7,0,1,3,5,1,6,4,5,1,1,4,2,0,4,6,5,1,5,4,
The Guardian ,0,1,1,1,1,1,0,4,1,7,1,2,0,2,1,2,2,1,1,2,
NBC News,0,1,2,0,9,0,3,4,1,5,7,0,3,5,7,1,5,1,5,2,
Forbes,0,3,4,0,4,2,5,11,5,3,1,6,2,0,1,2,1,1,3,1,
Daily Mail Online,1,1,0,1,4,0,4,4,0,2,2,0,4,2,1,2,1,0,3,1,
ABC News,0,0,1,0,4,0,1,2,5,1,4,2,0,8,2,5,1,1,2,2,
Business Insider,0,1,1,4,4,2,6,2,4,2,1,2,0,3,7,7,3,0,4,0,
Washington Post,2,2,2,5,6,0,4,0,4,0,3,3,0,2,1,2,4,3,2,1,
CNN,0,3,0,1,3,2,1,8,1,2,5,1,0,5,1,2,9,1,4,3,
The Independent,1,5,5,3,3,1,6,2,1,4,0,7,1,4,3,6,5,0,4,0,
Mashable,0,5,1,7,1,0,5,4,6,3,1,2,4,1,6,5,1,4,6,1,
Wall Street Journal,3,0,3,2,2,0,1,6,5,1,4,4,0,3,1,2,1,0,3,7,

0.15,Bleacher Report,The Telegraph,ESPN,Huffington Post,Fox News,BBC News (UK),BuzzFeed,The New York Times,Yahoo,The Guardian ,NBC News,Forbes,Daily Mail Online,ABC News,Business Insider,Washington Post,CNN,The Independent,Mashable,Wall Street Journal,
Bleacher Report,23,0,6,2,0,0,3,0,1,0,0,4,0,0,0,1,0,0,1,1,
The Telegraph,0,1,0,1,1,4,2,2,0,4,1,0,0,2,1,1,1,5,3,0,
ESPN,7,1,12,0,0,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0,
Huffington Post,0,2,1,2,2,0,1,1,1,3,1,0,1,0,0,3,0,1,3,1,
Fox News,1,2,5,2,3,0,0,4,0,1,4,0,1,2,2,2,1,4,3,4,
BBC News (UK),0,1,0,1,0,3,2,1,1,3,2,0,1,0,1,4,1,1,2,2,
BuzzFeed,1,0,1,0,1,1,3,1,1,1,2,0,4,4,2,1,1,3,1,0,
The New York Times,1,1,0,3,1,1,1,6,2,1,2,0,0,4,0,0,3,1,3,1,
Yahoo,5,1,2,1,3,2,2,3,2,2,2,7,0,4,1,2,6,2,6,0,
The Guardian ,1,2,0,0,0,3,1,2,0,1,2,0,0,1,0,0,0,1,2,1,
NBC News,0,3,2,0,0,0,2,1,3,4,9,1,3,4,1,4,3,2,2,4,
Forbes,1,2,1,1,0,0,0,1,2,0,0,1,1,2,0,0,0,0,1,0,
Daily Mail Online,0,1,1,1,0,1,1,0,0,0,4,0,2,1,1,0,1,0,1,0,
ABC News,0,1,0,0,3,0,1,1,0,2,4,0,2,3,1,2,0,2,1,2,
Business Insider,1,0,0,3,1,0,3,5,1,4,1,0,0,0,3,1,0,2,0,0,
Washington Post,7,2,4,2,1,1,2,1,3,0,5,1,1,2,2,3,1,0,1,5,
CNN,0,1,1,1,5,1,1,1,1,1,6,1,0,3,2,1,6,1,2,2,
The Independent,0,1,1,0,0,2,1,0,0,3,0,0,2,2,1,0,0,3,2,0,
Mashable,0,3,1,2,2,3,3,1,4,0,4,1,0,0,8,2,2,2,6,1,
Wall Street Journal,1,1,3,0,2,0,2,1,1,0,0,0,0,0,1,3,1,5,1,4,

0.16,Bleacher Report,The Telegraph,ESPN,Huffington Post,Fox News,BBC News (UK),BuzzFeed,The New York Times,Yahoo,The Guardian ,NBC News,Forbes,Daily Mail Online,ABC News,Business Insider,Washington Post,CNN,The Independent,Mashable,Wall Street Journal,
Bleacher Report,17,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,
The Telegraph,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,
ESPN,3,0,10,0,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,
Huffington Post,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fox News,5,0,0,0,3,0,0,0,2,0,1,1,0,0,1,0,1,0,0,0,
BBC News (UK),0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,
BuzzFeed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
The New York Times,0,0,0,1,2,0,0,0,0,0,1,0,0,2,0,2,3,0,0,0,
Yahoo,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,
The Guardian ,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,0,1,0,
NBC News,2,0,1,0,1,1,0,0,0,0,2,0,0,0,1,1,0,0,0,0,
Forbes,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
Daily Mail Online,0,0,0,2,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,
ABC News,1,0,1,2,2,0,0,0,0,2,3,0,0,0,0,0,0,0,0,1,
Business Insider,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,
Washington Post,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,
CNN,0,0,0,0,1,1,0,2,0,0,2,0,0,0,0,1,6,0,0,0,
The Independent,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Mashable,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,
Wall Street Journal,0,0,0,0,2,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,

0.17,Bleacher Report,The Telegraph,ESPN,Huffington Post,Fox News,BBC News (UK),BuzzFeed,The New York Times,Yahoo,The Guardian ,NBC News,Forbes,Daily Mail Online,ABC News,Business Insider,Washington Post,CNN,The Independent,Mashable,Wall Street Journal,
Bleacher Report,31,1,2,0,1,0,2,0,1,0,0,2,1,2,0,0,1,0,0,3,
The Telegraph,1,4,0,1,2,2,1,0,0,4,1,0,1,1,1,1,3,3,2,1,
ESPN,4,1,9,0,2,0,1,1,2,0,2,1,0,0,1,1,0,0,0,2,
Huffington Post,0,0,0,1,1,0,3,0,0,2,4,0,2,1,0,5,0,2,2,0,
Fox News,3,1,1,1,2,0,3,2,2,0,1,0,0,1,2,4,3,1,1,0,
BBC News (UK),0,0,0,1,0,3,1,1,2,1,0,0,0,0,0,4,0,0,4,0,
BuzzFeed,1,2,1,5,3,3,5,0,4,4,1,3,2,2,2,0,4,4,2,1,
The New York Times,1,0,0,0,1,0,4,5,0,5,2,1,1,1,1,3,1,2,4,1,
Yahoo,3,1,1,3,1,1,3,2,2,1,1,6,0,0,2,2,4,2,2,3,
The Guardian ,0,0,0,0,0,0,1,3,1,2,1,0,0,1,0,2,1,0,0,0,
NBC News,1,1,1,0,4,0,0,2,0,1,4,1,1,5,2,2,3,1,2,1,
Forbes,0,2,0,0,1,0,2,5,3,0,1,4,1,0,0,1,1,0,5,2,
Daily Mail Online,2,2,0,1,0,1,0,4,0,1,1,1,1,1,0,0,0,1,1,2,
ABC News,0,0,0,0,2,0,1,0,0,1,3,0,0,8,1,0,5,0,1,2,
Business Insider,0,4,0,0,2,1,0,3,3,3,0,1,2,0,6,3,3,3,2,1,
Washington Post,7,1,1,3,0,0,5,2,5,2,1,2,0,2,0,2,1,0,2,2,
CNN,0,3,0,0,5,2,0,4,0,2,4,0,0,2,2,4,4,2,2,1,
The Independent,1,5,1,0,1,0,6,4,0,0,0,3,1,2,2,2,0,6,3,1,
Mashable,0,0,0,1,2,0,3,0,4,4,0,3,0,0,0,2,0,0,4,0,
Wall Street Journal,3,1,1,0,0,0,1,1,0,0,0,1,0,2,1,0,1,0,0,2,

0.18,Bleacher Report,The Telegraph,ESPN,Huffington Post,Fox News,BBC News (UK),BuzzFeed,The New York Times,Yahoo,The Guardian ,NBC News,Forbes,Daily Mail Online,ABC News,Business Insider,Washington Post,CNN,The Independent,Mashable,Wall Street Journal,
Bleacher Report,28,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
The Telegraph,0,1,0,0,1,1,0,1,0,1,2,0,1,1,1,2,0,1,1,0,
ESPN,3,0,14,3,1,0,0,0,1,2,2,0,0,0,0,1,0,0,1,0,
Huffington Post,0,1,0,6,1,0,1,3,1,0,2,0,2,3,2,4,0,2,1,0,
Fox News,4,1,0,2,0,0,1,1,1,0,1,0,0,2,1,0,2,0,1,1,
BBC News (UK),0,0,0,0,0,1,1,0,2,0,1,0,1,0,1,0,0,0,1,0,
BuzzFeed,0,0,0,0,1,0,4,1,0,6,1,1,2,0,2,3,1,1,2,0,
The New York Times,0,0,1,1,0,0,3,0,0,1,0,0,0,2,2,4,2,1,0,1,
Yahoo,2,0,1,1,0,2,2,2,3,1,2,1,0,0,1,7,5,1,5,0,
The Guardian ,0,0,1,1,0,0,2,0,0,4,1,0,0,2,1,1,2,0,2,0,
NBC News,0,1,0,0,1,1,1,2,1,1,2,0,0,4,1,1,6,0,0,0,
Forbes,1,2,0,0,0,1,0,0,1,0,2,6,0,0,1,0,0,0,1,2,
Daily Mail Online,0,0,0,0,0,1,0,0,0,1,2,0,2,0,0,0,0,2,1,0,
ABC News,3,5,2,1,0,0,0,0,4,0,4,1,3,6,1,0,1,1,0,0,
Business Insider,1,1,0,3,0,0,1,1,2,1,0,1,3,0,6,0,2,1,1,0,
Washington Post,2,0,4,1,0,0,2,2,5,1,0,0,2,1,0,4,1,0,1,0,
CNN,0,1,0,0,0,0,3,2,3,2,3,0,0,3,0,0,7,0,0,1,
The Independent,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,2,1,0,
Mashable,0,0,0,2,1,0,1,1,3,0,1,4,1,1,0,4,2,0,2,1,
Wall Street Journal,0,1,0,1,0,0,0,1,3,0,2,0,1,2,0,3,1,0,0,0,

0.19,Bleacher Report,The Telegraph,ESPN,Huffington Post,Fox News,BBC News (UK),BuzzFeed,The New York Times,Yahoo,The Guardian ,NBC News,Forbes,Daily Mail Online,ABC News,Business Insider,Washington Post,CNN,The Independent,Mashable,Wall Street Journal,
Bleacher Report,23,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,
The Telegraph,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,2,1,0,2,1,
ESPN,5,0,3,0,1,0,0,2,1,2,1,0,0,0,0,0,1,0,1,0,
Huffington Post,3,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,
Fox News,3,0,0,0,3,0,0,1,0,0,2,0,0,3,0,0,2,0,0,1,
BBC News (UK),0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,
BuzzFeed,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
The New York Times,0,0,0,0,2,0,0,0,0,1,1,0,0,0,1,1,4,0,0,0,
Yahoo,1,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,
The Guardian ,0,2,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,
NBC News,0,0,0,0,4,0,0,0,1,2,5,0,0,3,1,0,1,0,1,1,
Forbes,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Daily Mail Online,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,
ABC News,3,0,1,0,2,0,0,0,0,1,1,0,0,1,1,0,1,0,1,2,
Business Insider,0,1,0,0,1,0,1,1,0,0,2,0,0,2,0,0,0,0,0,0,
Washington Post,1,1,0,1,2,0,0,0,1,1,1,0,0,1,0,0,1,0,1,1,
CNN,0,1,0,0,2,0,0,1,0,0,1,0,2,2,1,2,2,0,1,0,
The Independent,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,
Mashable,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,
Wall Street Journal,1,0,0,0,2,0,0,0,2,1,3,1,0,4,0,0,1,0,1,0,

0.2,Bleacher Report,The Telegraph,ESPN,Huffington Post,Fox News,BBC News (UK),BuzzFeed,The New York Times,Yahoo,The Guardian ,NBC News,Forbes,Daily Mail Online,ABC News,Business Insider,Washington Post,CNN,The Independent,Mashable,Wall Street Journal,
Bleacher Report,12,0,3,1,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,3,
The Telegraph,0,4,0,2,1,1,0,0,0,1,1,0,0,4,1,1,0,0,0,0,
ESPN,4,0,7,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,
Huffington Post,0,1,0,0,1,0,2,0,0,1,1,0,0,0,1,0,0,0,2,0,
Fox News,1,0,0,1,3,0,0,3,4,0,3,0,1,5,1,2,3,0,1,2,
BBC News (UK),0,2,0,0,0,0,0,2,0,3,1,0,2,1,0,2,1,1,2,0,
BuzzFeed,1,0,0,1,0,1,0,7,0,2,0,0,1,0,0,0,1,0,3,1,
The New York Times,0,0,0,0,0,0,2,2,1,0,2,1,0,0,1,1,2,0,0,3,
Yahoo,0,0,1,0,3,0,3,1,5,1,3,2,1,2,0,3,4,1,0,1,
The Guardian ,0,0,0,0,1,2,2,0,0,5,0,0,1,0,0,1,1,1,0,2,
NBC News,0,1,0,0,1,1,0,2,2,1,7,0,0,2,0,1,1,0,1,0,
Forbes,0,0,0,0,1,0,0,2,1,0,0,5,1,0,0,0,2,0,1,0,
Daily Mail Online,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,
ABC News,0,2,0,0,3,1,0,0,1,2,3,0,0,2,0,2,1,0,1,0,
Business Insider,0,0,0,0,1,0,4,1,0,0,1,0,2,0,0,3,0,0,1,0,
Washington Post,2,0,0,1,1,0,2,2,4,3,1,0,0,0,1,1,1,2,3,0,
CNN,0,0,0,0,3,0,1,0,1,1,4,0,1,1,0,2,2,0,0,0,
The Independent,0,3,0,2,1,0,0,2,1,0,2,1,0,0,0,2,0,2,2,0,
Mashable,1,2,0,0,0,0,2,0,3,0,0,3,1,2,2,0,0,0,1,1,
Wall Street Journal,1,0,0,1,1,2,0,2,1,0,0,2,0,1,1,3,0,0,1,2,

0.21,Bleacher Report,The Telegraph,ESPN,Huffington Post,Fox News,BBC News (UK),BuzzFeed,The New York Times,Yahoo,The Guardian ,NBC News,Forbes,Daily Mail Online,ABC News,Business Insider,Washington Post,CNN,The Independent,Mashable,Wall Street Journal,
Bleacher Report,11,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
The Telegraph,0,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,
ESPN,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Huffington Post,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,
Fox News,0,0,0,0,2,0,1,0,1,0,3,0,0,2,2,0,4,0,0,1,
BBC News (UK),0,0,0,0,0,1,0,1,0,2,0,0,1,0,0,1,0,0,0,0,
BuzzFeed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
The New York Times,0,0,0,0,2,0,0,0,2,2,1,0,0,1,0,0,0,0,1,1,
Yahoo,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,
The Guardian ,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,1,1,0,
NBC News,0,1,0,1,6,0,1,3,1,2,0,0,0,3,1,0,4,0,1,6,
Forbes,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,
Daily Mail Online,0,1,0,0,1,0,1,0,0,0,2,0,1,1,0,1,0,0,1,0,
ABC News,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,
Business Insider,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,
Washington Post,0,0,0,0,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,
CNN,0,0,1,1,5,0,0,1,0,0,3,0,0,0,0,0,4,0,1,0,
The Independent,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mashable,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,2,1,2,0,
Wall Street Journal,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,

0.22,Bleacher Report,The Telegraph,ESPN,Huffington Post,Fox News,BBC News (UK),BuzzFeed,The New York Times,Yahoo,The Guardian ,NBC News,Forbes,Daily Mail Online,ABC News,Business Insider,Washington Post,CNN,The Independent,Mashable,Wall Street Journal,
Bleacher Report,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
The Telegraph,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,
ESPN,2,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
Huffington Post,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,2,0,0,
Fox News,1,0,2,0,2,0,0,3,1,0,0,0,0,1,0,0,0,0,0,1,
BBC News (UK),0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,
BuzzFeed,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,1,1,4,0,0,
The New York Times,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,
Yahoo,0,2,1,0,1,0,0,1,0,0,1,1,0,0,2,1,1,0,4,0,
The Guardian ,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,
NBC News,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,
Forbes,0,1,0,0,0,0,0,2,0,0,3,7,0,3,2,0,0,0,2,0,
Daily Mail Online,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,
ABC News,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
Business Insider,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,0,
Washington Post,2,0,0,0,1,0,1,0,3,0,0,1,0,1,0,1,3,0,0,1,
CNN,0,0,0,0,2,0,1,1,0,0,1,0,0,0,0,1,2,0,0,0,
The Independent,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,
Mashable,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,
Wall Street Journal,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,

0.23,Bleacher Report,The Telegraph,ESPN,Huffington Post,Fox News,BBC News (UK),BuzzFeed,The New York Times,Yahoo,The Guardian ,NBC News,Forbes,Daily Mail Online,ABC News,Business Insider,Washington Post,CNN,The Independent,Mashable,Wall Street Journal,
Bleacher Report,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
The Telegraph,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,
ESPN,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Huffington Post,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
Fox News,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,2,
BBC News (UK),0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,
BuzzFeed,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,
The New York Times,0,0,0,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,
Yahoo,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
The Guardian ,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,
NBC News,0,0,0,2,3,1,0,0,0,1,3,0,0,1,1,0,0,0,1,1,
Forbes,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,
Daily Mail Online,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,
ABC News,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
Business Insider,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,
Washington Post,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,4,0,
CNN,0,0,0,0,2,0,0,0,1,0,3,0,1,1,0,1,3,0,0,1,
The Independent,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mashable,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,1,0,0,
Wall Street Journal,0,1,0,0,0,0,0,2,0,0,2,0,0,0,2,2,0,0,1,0,

0.24,Bleacher Report,The Telegraph,ESPN,Huffington Post,Fox News,BBC News (UK),BuzzFeed,The New York Times,Yahoo,The Guardian ,NBC News,Forbes,Daily Mail Online,ABC News,Business Insider,Washington Post,CNN,The Independent,Mashable,Wall Street Journal,
Bleacher Report,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
The Telegraph,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
ESPN,3,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,
Huffington Post,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fox News,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,
BBC News (UK),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,
BuzzFeed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
The New York Times,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,
Yahoo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
The Guardian ,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
NBC News,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,
Forbes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Daily Mail Online,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
ABC News,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,
Business Insider,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,
Washington Post,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
CNN,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,
The Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Mashable,0,0,0,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,
Wall Street Journal,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,

0.25,Bleacher Report,The Telegraph,ESPN,Huffington Post,Fox News,BBC News (UK),BuzzFeed,The New York Times,Yahoo,The Guardian ,NBC News,Forbes,Daily Mail Online,ABC News,Business Insider,Washington Post,CNN,The Independent,Mashable,Wall Street Journal,
Bleacher Report,9,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
The Telegraph,0,1,0,0,1,2,1,1,0,2,1,0,2,0,1,0,0,1,1,0,
ESPN,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Huffington Post,0,0,0,1,2,0,1,0,1,0,1,0,0,1,0,3,0,0,0,0,
Fox News,0,0,0,0,1,0,0,1,0,0,2,0,0,0,1,2,1,0,0,0,
BBC News (UK),0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
BuzzFeed,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,2,0,2,1,1,
The New York Times,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,
Yahoo,0,0,0,1,1,0,0,0,4,1,0,0,0,0,0,1,0,0,4,1,
The Guardian ,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,4,0,0,
NBC News,0,0,0,0,1,0,1,4,0,1,1,0,0,1,0,2,2,0,0,1,
Forbes,0,0,0,1,0,0,0,0,0,1,2,3,0,1,0,0,0,3,1,0,
Daily Mail Online,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,2,1,
ABC News,0,0,0,0,2,0,0,0,0,1,2,0,1,0,0,1,0,0,1,0,
Business Insider,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,
Washington Post,0,0,0,0,1,0,0,1,0,1,4,0,0,0,0,1,4,0,3,1,
CNN,0,0,0,1,0,0,1,0,1,2,2,0,0,1,0,1,0,1,0,1,
The Independent,0,1,0,0,0,1,3,0,0,0,0,0,0,0,2,1,1,0,0,0,
Mashable,0,2,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,
Wall Street Journal,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,

0.26,Bleacher Report,The Telegraph,ESPN,Huffington Post,Fox News,BBC News (UK),BuzzFeed,The New York Times,Yahoo,The Guardian ,NBC News,Forbes,Daily Mail Online,ABC News,Business Insider,Washington Post,CNN,The Independent,Mashable,Wall Street Journal,
Bleacher Report,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
The Telegraph,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
ESPN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Huffington Post,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fox News,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,
BBC News (UK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BuzzFeed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
The New York Times,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,
Yahoo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
The Guardian ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NBC News,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
Forbes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Daily Mail Online,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABC News,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,
Business Insider,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Washington Post,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CNN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
The Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mashable,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
